5603(9895), 3140(7884)
9299(11357), 1555(10063)
393(7505), 6557(6614)
2148(6354), 2077(5851)
899(6570), 7380(2063)
6949(3800), 1018(384)
3727(4838), 5323(2986)
7613(2337), 7187(2057)
5774(6654), 5821(1622)
5774(6657), 5821(1624)
5042(4122), 4400(3616)
4665(3795), 8525(1206)
8366(1862), 510(1832)
4434(10937), 3100(8810)
3100(8810), 7350(3214)
7350(3214), 5283(745)
4434(10938), 5283(746)
6946(5794), 4189(5432)
4873(9373), 8504(7731)
8484(10821), 6215(8285)
2214(10309), 1819(1141)
2661(12144), 4733(8500)
4496(1881), 2863(1013)
8875(4175), 8756(1113)
6106(8393), 4163(1090)
9121(8496), 5840(5861)
8975(19298), 3035(7436)
8975(19300), 3035(7438)
2517(6972), 9941(6536)
1384(3916), 71(3802)
1384(3917), 71(3803)
8032(11016), 9736(8772)
7033(13115), 854(3887)
2958(5679), 101(4693)
688(16710), 3082(201)
6238(5329), 4236(4089)
2165(9958), 6827(2417)
6309(15260), 5632(6305)
4193(12189), 265(3444)
4193(12190), 265(3445)
899(6571), 7380(2064)
8624(3012), 8325(1749)
7144(13677), 7158(2313)
7066(15809), 6192(2277)
6226(3074), 9371(1201)
4003(10806), 9592(150)
4273(8468), 9524(398)
9985(8380), 2098(7861)
3654(11820), 7659(1079)
2903(7696), 5709(5085)
3895(7290), 8466(2968)
2101(8837), 6335(6758)
7508(6485), 6765(1839)
7663(14837), 8185(9398)
3315(7890), 6700(3933)
938(10357), 8914(2489)
1808(6336), 5989(1674)
4076(9390), 9662(6079)
7588(11890), 3096(10763)
6058(11527), 31(4436)
3161(5978), 8577(2158)
8544(2655), 3443(1114)
8025(12276), 4172(8831)
7218(13587), 3056(4075)
2548(7219), 7568(244)
3135(9717), 6966(2169)
3182(5649), 5982(288)
9837(6930), 7911(5952)
9837(6932), 7911(5953)
9737(4393), 1194(326)
2940(4436), 7387(1339)
3654(7158), 5323(994)
4097(10735), 2120(2606)
8499(2210), 5061(1979)
8847(11690), 985(6087)
6344(5803), 434(343)
3656(20486), 610(1983)
7613(2334), 7187(2053)
2193(12374), 6822(10413)
9092(5216), 7748(4068)
4787(5640), 7167(5315)
4952(16072), 2291(1368)
2291(1368), 4516(1298)
7942(5169), 4687(222)
3841(16118), 234(3962)
4748(8624), 8208(4930)
6144(8976), 657(5230)
2470(10967), 4043(5817)
3895(7291), 8466(2969)
2101(8838), 6335(6759)
2901(3171), 6488(2408)
6906(1276), 7653(1102)
2661(10396), 4733(6738)
1864(9527), 8598(4386)
1042(5412), 475(3673)
475(3673), 2073(1307)
1864(9512), 7388(1285)
